Model,MSE,MAE,R2
NN1,0.19260457558358632,0.3162628533534541,0.5772355825586251
NN1_adv,0.20837192699587964,0.3324996028482298,0.5426264611802039
NN2,0.18112915257794046,0.31085316332978036,0.6024239796004691
NN2_adv,0.20070513411848306,0.33248236251305063,0.5594549670172816
NN3,0.1844786588446908,0.3106689152576532,0.5950718590120129
NN3_adv,0.2051648487192946,0.3286172350264903,0.5496659542721059
