K value,MSE,MAE,R2,Time
2,0.08279696124358636,0.011713642304607023,0.5255411067890734,34.20147657394409
5,0.12311483532973032,0.014837647621124854,0.48837568467402953,38.014232873916626
10,0.12874681435420393,0.01725334283321457,0.4605580609674046,40.86274075508118
20,0.24593446051024756,0.020592160992420352,0.4164068974059054,44.444109201431274
50,0.4556967589849847,0.025967329954145423,0.4115256471634011,61.67448449134827
100,0.645009834818471,0.031080037540608767,0.40552103468205236,56.05508589744568
500,2.136651753433136,0.053705073855490316,0.38584294495656896,91.17248511314392
