K value,MSE,MAE,R2,Time
2,0.07284620260397871,0.011478812130499493,0.5243498028269686,30.797602891921997
5,0.16490514105597112,0.01456963516293914,0.479286713035328,33.81038427352905
10,0.1992074738638193,0.017554076850472236,0.4562618966628654,36.73320388793945
20,0.23847795640794267,0.02071181933573219,0.445788637757811,39.570953130722046
50,0.4507133177310279,0.026514211997243214,0.4125399514967037,44.598819732666016
100,0.7514523944054016,0.03219299347480549,0.4060930324504034,49.80815529823303
500,2.792690376450135,0.05727190547830239,0.37991967319233616,77.48762488365173
